id;score;evaluator_mail;status;answered_question_difficulty
1;2784;Avon maroon;OPENED;INTERMEDIATE
2;49787;Berkshire cross-platform Franc;VALID;BEGINNER
3;22975;Frozen Fresh;OPENED;EXPERT
4;20504;Security;VALID;INTERMEDIATE
5;64266;Grass-roots strategy e-tailers;VALID;INTERMEDIATE
6;46227;strategy;OPENED;INTERMEDIATE
7;72713;Consultant transition deliverables;VALID;INTERMEDIATE
8;57163;circuit;OPENED;BEGINNER
9;53151;regional capability;INVALID;BEGINNER
10;44387;Gloves Money Fresh;OPENED;EXPERT
